what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1380033350368
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1380033350369
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1380033350369
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1380033350371
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1380033350375
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1380033350387
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1380033350428
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1380033350445
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1380033350466
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1380033350469
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1380033350471
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1380033350471
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1380033350472
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1380033350490
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1380033350491
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1380033350492
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1380033350493
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1380033350510
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1380033350511
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1380033350512
os,sysinfo,,,"linux",1380033350516
arch,sysinfo,,,"x86_64",1380033350516
ws,sysinfo,,,"gtk",1380033350517
locale,sysinfo,,,"en_US",1380033350517
processors,sysinfo,,,"2",1380033350517
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380033350517
java.runtime.version,sysinfo,,,"1.7.0_25-b15",1380033350517
java.specification.name,sysinfo,,,"Java Platform API Specification",1380033350517
java.specification.vendor,sysinfo,,,"Oracle Corporation",1380033350517
java.specification.version,sysinfo,,,"1.7",1380033350517
java.vendor,sysinfo,,,"Oracle Corporation",1380033350517
java.version,sysinfo,,,"1.7.0_25",1380033350517
java.vm.info,sysinfo,,,"mixed mode",1380033350517
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1380033350517
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380033350517
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1380033350517
java.vm.specification.version,sysinfo,,,"1.7",1380033350517
java.vm.vendor,sysinfo,,,"Oracle Corporation",1380033350517
java.vm.version,sysinfo,,,"23.25-b01",1380033350517
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1380033350537
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1380033350553
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1380033350706
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1380033350739
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1380033350780
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1380033350984
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1380033350988
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1380033353446
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1380033353565
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380033361041
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1380033363161
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1380033409753
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1380033410001
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1380033413424
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380033413484
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380033415748
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1380033422622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380033450260
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1380033450915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380033455553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380033459753
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380033465197
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380033480493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1380033481572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1380033482894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380033486911
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1380033487501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380033495813
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380033498893
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380033500045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380033512898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380033528680
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380033528768
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380033533413
