what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394121686
error,log,,,"Unhandled event loop exception",1380394144596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394147812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394148074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1380394152019
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394195658
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394197910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394203827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394207462
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380394225043
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394226081
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394226135
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380394226165
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394227848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394244241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394262868
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394263904
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394265115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394269542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394403361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394403519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394405963
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380394406989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394408848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394410729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394410974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1380394423802
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394423867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394428606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394435096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394436979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394440181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394461437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394462637
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394468632
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394471427
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380394473827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1380394499236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394502550
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1380394503442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380394512640
